m,deg,Dmin,F100,F60
0.989538,0.0164923,0.483909737,7.5589,1.7071
2.48,0.041333333,1.212784296,7.2349,1.6839
4.01,0.066833333,1.960993963,7.196,1.651
5.41,0.090166667,2.645630259,7.1964,1.6879
6.53,0.108833333,3.193339296,7.1793,1.6308
7.63,0.127166667,3.731267815,7.2218,1.7078
8.7,0.145,4.254525556,7.206,1.7459
10.16,0.169333333,4.968503407,7.2388,1.7573
11.56,0.192666667,5.653139704,7.3034,1.7537
