h,m,s,RA,d,arc m,arc s,DEC,F60,h,m,s,d,arc m,arc s,F100,T,"B(V,T)",M,
12,40,2.88,190.012,-41,26,7.2,-40.56466667,1.6732,12,40,2.88,-41,26,7.2,7.1979,23.92118284,9.71172E-16,4.22293E+26,0.042229345
12,40,2.24,190.0093333,-41,27,37.2,-40.53966667,1.637,12,40,2.24,-41,27,37.2,7.3214,23.69162748,9.16052E-16,4.55385E+26,0.045538503
12,40,2.23,190.0092917,-41,29,0,-40.51666667,1.7674,12,40,2.23,-41,29,0,7.4277,24.06114639,1.00585E-15,4.20752E+26,0.042075238
12,39,58.77,189.994875,-41,15,30,-40.74166667,1.7071,12,39,58.77,-41,15,30,7.5589,23.75027905,9.29929E-16,4.63141E+26,0.046314106
12,39,58.45,189.9935417,-41,17,0,-40.71666667,1.6924,12,39,58.45,-41,17,0,7.3987,23.82556832,9.4795E-16,4.44708E+26,0.044470767
12,39,58.12,189.9921667,-41,18,33.6,-40.69066667,1.6714,12,39,58.12,-41,18,33.6,7.3955,23.75450769,9.30935E-16,4.5264E+26,0.045263973
12,39,57.47,189.9894583,-41,19,56.4,-40.66766667,1.6798,12,39,57.47,-41,19,56.4,7.3262,23.83961693,9.51338E-16,4.38782E+26,0.043878159
12,39,56.83,189.9867917,-41,21,33.6,-40.64066667,1.6581,12,39,56.83,-41,21,33.6,7.1312,23.92263853,9.71528E-16,4.18227E+26,0.041822672
12,39,56.18,189.9840833,-41,23,0,-40.61666667,1.675,12,39,56.18,-41,23,0,7.0927,24.01572406,9.94505E-16,4.06358E+26,0.04063583
12,39,55.85,189.9827083,-41,24,30,-40.59166667,1.7083,12,39,55.85,-41,24,30,7.1007,24.1277397,1.02263E-15,3.95627E+26,0.039562679
12,39,55.2,189.98,-41,26,7.2,-40.56466667,1.6698,12,39,55.2,-41,26,3.6,7.2325,23.88054344,9.61255E-16,4.28701E+26,0.042870066
12,39,55.19,189.9799583,-41,27,33.6,-40.54066667,1.6882,12,39,55.19,-41,27,33.6,7.3624,23.83996699,9.51423E-16,4.40911E+26,0.04409105
12,39,54.54,189.97725,-41,29,10.8,-40.51366667,1.7414,12,39,54.54,-41,29,7.2,7.5198,23.89856093,9.65643E-16,4.43705E+26,0.044370473
12,39,51.12,189.963,-41,13,56.3,-40.76769444,1.7611,12,39,51.12,-41,13,56.3,7.4428,24.02741151,9.97415E-16,4.25172E+26,0.042517215
12,39,51.11,189.9629583,-41,15,26.3,-40.74269444,1.7403,12,39,51.11,-41,15,26.3,7.3947,23.99499624,9.89357E-16,4.25865E+26,0.04258649
12,39,50.14,189.9589167,-41,16,52.7,-40.71869444,1.6839,12,39,50.14,-41,16,52.7,7.2349,23.92862018,9.72994E-16,4.23669E+26,0.04236693
12,39,49.49,189.9562083,-41,18,26.3,-40.69269444,1.651,12,39,49.49,-41,18,26.3,7.196,23.84339497,9.52251E-16,4.30571E+26,0.04305706
12,39,49.48,189.9561667,-41,20,3.5,-40.66569444,1.6879,12,39,49.48,-41,20,3.5,7.1964,23.97468353,9.8433E-16,4.16561E+26,0.041656132
12,39,48.51,189.952125,-41,21,29.9,-40.64169444,1.6308,12,39,48.51,-41,21,29.9,7.1793,23.78439852,9.38067E-16,4.36067E+26,0.043606661
12,39,48.18,189.95075,-41,22,59.9,-40.61669444,1.6833,12,39,48.18,-41,22,59.9,7.1162,24.02555213,9.96952E-16,4.06704E+26,0.040670398
12,39,47.85,189.949375,-41,24,29.9,-40.59169444,1.7135,12,39,47.85,-41,24,29.9,7.1884,24.0718625,1.00854E-15,4.06111E+26,0.040611138
